date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:24:44	74115/74115	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e3321-12183%22	https://html.rovadex.com/html-creto/index.html	C:/Users/hp/Desktop/CYCLE-%20ECOMMERCER/html.rovadex.com/html-creto/index.html	(from )
19:24:45	50/50	---MCZ	200	added ('OK')	text/plain	date:Tue,%2022%20Aug%202023%2014:24:46%20GMT	https://html.rovadex.com/robots.txt		(from )
19:24:45	2631/2631	---M--	200	added ('OK')	image/png	etag:%225e7e3364-a47%22	https://html.rovadex.com/html-creto/assets/img/favicon.png	C:/Users/hp/Desktop/CYCLE-%20ECOMMERCER/html.rovadex.com/html-creto/assets/img/favicon.png	(from https://html.rovadex.com/html-creto/index.html)
19:24:47	1249/1249	---MCZ	200	added ('OK')	text/css	etag:W/%225e7e3327-4e1%22	https://html.rovadex.com/html-creto/assets/css/slick.min.css	C:/Users/hp/Desktop/CYCLE-%20ECOMMERCER/html.rovadex.com/html-creto/assets/css/slick.min.css	(from https://html.rovadex.com/html-creto/index.html)
19:24:47	64623/64623	---MCZ	200	added ('OK')	text/css	etag:W/%225e7e3325-fc6f%22	https://html.rovadex.com/html-creto/assets/css/bootstrap-grid.css	C:/Users/hp/Desktop/CYCLE-%20ECOMMERCER/html.rovadex.com/html-creto/assets/css/bootstrap-grid.css	(from https://html.rovadex.com/html-creto/index.html)
19:24:48	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225e7e3326-7918%22	https://html.rovadex.com/html-creto/assets/css/font-awesome.min.css	C:/Users/hp/Desktop/CYCLE-%20ECOMMERCER/html.rovadex.com/html-creto/assets/css/font-awesome.min.css	(from https://html.rovadex.com/html-creto/index.html)
19:24:49	3157/3157	---MCZ	200	added ('OK')	text/css	etag:W/%225e7e3327-c55%22	https://html.rovadex.com/html-creto/assets/css/nice-select.css	C:/Users/hp/Desktop/CYCLE-%20ECOMMERCER/html.rovadex.com/html-creto/assets/css/nice-select.css	(from https://html.rovadex.com/html-creto/index.html)
19:24:49	79344/79344	---MCZ	200	added ('OK')	text/css	etag:W/%225e7e3325-135f0%22	https://html.rovadex.com/html-creto/assets/css/animate.css	C:/Users/hp/Desktop/CYCLE-%20ECOMMERCER/html.rovadex.com/html-creto/assets/css/animate.css	(from https://html.rovadex.com/html-creto/index.html)
19:24:49	137328/137328	---MCZ	200	added ('OK')	text/css	etag:W/%225e7e3328-21870%22	https://html.rovadex.com/html-creto/assets/css/style.css	C:/Users/hp/Desktop/CYCLE-%20ECOMMERCER/html.rovadex.com/html-creto/assets/css/style.css	(from https://html.rovadex.com/html-creto/index.html)
19:24:50	5402/5402	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e7e3375-151a%22	https://html.rovadex.com/html-creto/assets/img/logo.svg	C:/Users/hp/Desktop/CYCLE-%20ECOMMERCER/html.rovadex.com/html-creto/assets/img/logo.svg	(from https://html.rovadex.com/html-creto/index.html)
19:24:50	75683/75683	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e3321-127a3%22	https://html.rovadex.com/html-creto/home-two.html	C:/Users/hp/Desktop/CYCLE-%20ECOMMERCER/html.rovadex.com/html-creto/home-two.html	(from https://html.rovadex.com/html-creto/index.html)
19:24:50	19841/19841	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e3322-4d81%22	https://html.rovadex.com/html-creto/services.html	C:/Users/hp/Desktop/CYCLE-%20ECOMMERCER/html.rovadex.com/html-creto/services.html	(from https://html.rovadex.com/html-creto/index.html)
19:24:51	23160/23160	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e3322-5a78%22	https://html.rovadex.com/html-creto/shop.html	C:/Users/hp/Desktop/CYCLE-%20ECOMMERCER/html.rovadex.com/html-creto/shop.html	(from https://html.rovadex.com/html-creto/index.html)
19:24:51	9807/9807	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e3320-264f%22	https://html.rovadex.com/html-creto/gallery.html	C:/Users/hp/Desktop/CYCLE-%20ECOMMERCER/html.rovadex.com/html-creto/gallery.html	(from https://html.rovadex.com/html-creto/index.html)
19:24:51	18822/18822	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e331f-4986%22	https://html.rovadex.com/html-creto/about.html	C:/Users/hp/Desktop/CYCLE-%20ECOMMERCER/html.rovadex.com/html-creto/about.html	(from https://html.rovadex.com/html-creto/index.html)
19:24:52	16347/16347	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e3322-3fdb%22	https://html.rovadex.com/html-creto/news.html	C:/Users/hp/Desktop/CYCLE-%20ECOMMERCER/html.rovadex.com/html-creto/news.html	(from https://html.rovadex.com/html-creto/index.html)
